"","Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1","Aruba","ABW","Population density (people per sq. km of land area)","EN.POP.DNST",NA,"310.06111111111113","314.89999999999998","319.30555555555554","323.21111111111111","326.56666666666666","329.39444444444445","330.67777777777781","330.39444444444445","329.61111111111109","328.36666666666667","326.75555555555553","326.97222222222223","329.80555555555554","333.48888888888888","337.30555555555554","339.96111111111111","341.47222222222223","342.98888888888888","344.47777777777776","345.92777777777781","347.85555555555555","350.64444444444445","353.79444444444442","356.52222222222224","358.21111111111111","358.62777777777779","358.05555555555554","357.39999999999998","358.86666666666667","365.06666666666666","377.02222222222224","389.95555555555558","402","415.05555555555554","428.05555555555554","441.20555555555558","454.76666666666665","468.63888888888891","482.59444444444443","495.00555555555553","503.8388888888889","509.89444444444445","515.00555555555559","519.66666666666663","524.90555555555557","531.14444444444439","537.70555555555552","544.42222222222222","551.17777777777781","557.45000000000005","562.71111111111111","567.28888888888889","571.55555555555554","575.52222222222224","579.20555555555552","582.63333333333333","585.77222222222224","588.67777777777781","591.34444444444443","592.13888888888891","591.87222222222226",NA,NA
"2","Africa Eastern and Southern","AFE","Population density (people per sq. km of land area)","EN.POP.DNST",NA,"9.2075774600351323","9.4591867707695467","9.7196216670895215","9.9924431828436813","10.276307197604988","10.56544235225604","10.864497755258496","11.177567874959056","11.50155325996556","11.836423989083979","12.181438689243077","12.531153350168351","12.895050313928913","13.28013463988299","13.676202583228443","14.082359802220907","14.488508580142581","14.925008634940914","15.394041056956571","15.850536910434954","16.328837010540564","16.840054061283958","17.347411346624611","17.857267051666422","18.387680195415594","18.943404404633092","19.523606140734884","20.093535711322517","20.66517422129921","21.266740101695003","21.86059475510292","22.436333360806845","23.032809206888654","23.636258338216688","24.257208142600017","24.91047846391178","25.553264494914117","26.195840665798723","26.866365771087356","27.560479620269852","28.274285183704123","29.011282143065717","29.770729125283403","30.249713292407527","31.056148430149783","31.895464388346632","32.771564184668698","33.678051766733489","34.606056939032825","35.55880606432487","36.531851510097468","37.219639583980346","38.254519995388812","39.316203314029018","40.417927553127967","41.520570763461855","42.623254979384278","43.769081896829867","44.946929584878681","46.150813141707026","47.354182530971983",NA,NA
"3","Afghanistan","AFG","Population density (people per sq. km of land area)","EN.POP.DNST",NA,"13.477055639881637","13.751356116707296","14.040238872790272","14.343887892307928","14.665297517746808","14.999535439952163","15.34739279088665","15.711911442282631","16.090166045720068","16.486471030158071","16.889528233905217","17.304866381491191","17.747274734372844","18.19891602655505","18.639722183892186","19.050437729021972","19.452188645109853","19.837882342118579","19.910720144734221","19.144521104518343","17.103161461447648","15.467379605353939","15.257576315103568","15.705634515431672","16.117352774328076","16.019566717262315","15.826867822700581","15.919936218818515","16.364116952608743","16.397277034175062","16.474505925823713","18.486474096561029","21.470585529644449","23.696479769406498","25.173500145654142","26.227856737653894","27.273843582785215","28.353697315364212","29.533825491007775","29.963328887049048","30.186639682320653","32.197623537709092","34.719546785643104","36.112339205494997","37.427274121092253","39.009159345629612","39.71497937844012","40.518220566364626","41.987193168054212","43.220446774910691","44.844850742836115","46.711250632445612","48.359028256903237","50.160541526762032","51.750914554681628","53.104283764929548","54.648541158793677","56.248231452095119","57.908251690354632","59.752280637198531","61.480554405654445",NA,NA
"4","Africa Western and Central","AFW","Population density (people per sq. km of land area)","EN.POP.DNST",NA,"10.978074366224584","11.213633439377091","11.459304731732876","11.712711212413973","11.975376661677673","12.247554987630684","12.526275122753571","12.813872535256417","13.11166661876643","13.422176888945877","13.743982698434104","14.078695374384575","14.432316632362728","14.807785385654498","15.205832222318032","15.61594467254344","16.043155040250813","16.494615500266423","16.964779709433571","17.447429519621306","17.944645237889933","18.464232492941459","18.966483818974151","19.46261074224666","19.989134380893631","20.531147562730908","21.088281165361085","21.66421491568444","22.26366327724088","22.854748180919721","23.455455250956799","24.09588791679656","24.739576465489986","25.390378165288123","26.074200787549554","26.774944780881249","27.494930785404907","28.243326501418341","29.007673191256032","29.80526809186162","30.639712329948331","31.501133346156994","32.38835667018212","33.304507405663195","34.250758806869058","35.22100736476014","36.2172016122435","37.243204566107067","38.302415159333968","39.392707096568785","40.514936688710094","41.654561464019686","42.804993378127705","43.98244341560374","45.180224922560576","46.405990859826353","47.661860447634147","48.934069256603635","50.222983866510127","51.53667928655738","52.862912544898045",NA,NA
"5","Angola","AGO","Population density (people per sq. km of land area)","EN.POP.DNST",NA,"4.3645889147348997","4.42881206384856","4.4917197401139006","4.5505727119595729","4.6014133311943528","4.6418897890430735","4.6743426646346355","4.7069888505654927","4.7552626935108684","4.8365284350685807","4.9547196599021417","5.1052626935108689","5.2765139969519534","5.4564000962541108","5.6410628058073318","5.8288120638485603","6.0254231170289563","6.2337290446779496","6.4516066415336493","6.6816772278816075","6.9234434908157532","7.1766680035293176","7.4410098660463628","7.7145279537980267","7.997610491698083","8.2879393599101636","8.5778912328547356","8.8716299029437717","9.1758225715889949","9.487958610732333","9.8088481591401298","10.132756076040748","10.458225715889949","10.798131868131868","11.159262853934386","11.537138044437315","11.928407796582979","12.3260319242801","12.730210154808695","13.149965508943611","13.589144942648593","14.050003208470361","14.537853533327986","15.056649554824737","15.60195636480308","16.172567578406994","16.772025346915857","17.399151359589315","18.053801235261091","18.740823774765381","19.458659661506378","20.203972086307854","20.972970241437395","21.760116307050613","22.561739793053661","23.385534611374027","24.230871901820805","25.085050934466992","25.951382048608327","26.813576642335768","27.676084061923479",NA,NA
"6","Albania","ALB","Population density (people per sq. km of land area)","EN.POP.DNST",NA,"60.576642335766422","62.456897810218976","64.329233576642338","66.20930656934307","68.058065693430663","69.874927007299263","71.737153284671535","73.805547445255471","75.974270072992695","77.9371897810219","79.848649635036494","81.865912408759129","83.823065693430664","85.770948905109492","87.76755474452554","89.727226277372267","91.735255474452558","93.659343065693434","95.541313868613145","97.518138686131394","99.491094890510951","101.61598540145985","103.7941605839416","106.00105839416058","108.20299270072992","110.31514598540146","112.54032846715329","114.68379562043796","117.80813868613139","119.94678832116789","119.22591240875913","118.50507299270073","117.78419708029197","117.06335766423358","116.34248175182482","115.62164233576642","114.90076642335767","114.17992700729927","113.45905109489051","112.73821167883212","111.68514598540146","111.35072992700729","110.9348905109489","110.47222627737226","109.90828467153284","109.21704379562044","108.39478102189781","107.56620437956204","106.8437591240876","106.31463503649636","106.02901459854014","105.85405109489051","105.66029197080292","105.44175182481752","105.13514598540146","104.9671897810219","104.87069343065693","104.61226277372263","104.16755474452555","103.57113138686131","102.61554744525547",NA,NA
"7","Andorra","AND","Population density (people per sq. km of land area)","EN.POP.DNST",NA,"21.736170212765959","23.434042553191489","25.189361702127659","27","28.857446808510637","30.948936170212765","33.5","36.338297872340426","39.253191489361704","42.255319148936174","45.365957446808508","48.578723404255321","51.899999999999999","55.325531914893617","58.808510638297875","62.327659574468086","65.848936170212767","69.306382978723406","72.642553191489355","75.768085106382983","78.695744680851064","82.123404255319144","86.02553191489362","89.746808510638303","93.210638297872336","97.031914893617028","101.35106382978724","105.64680851063829","109.87021276595745","113.97659574468085","117.94468085106384","121.87872340425533","125.86382978723404","129.86595744680852","133.88936170212767","136.48297872340424","137.62127659574469","138.69361702127659","139.69148936170214","140.63191489361702","144.29787234042553","150.74255319148935","157.24893617021277","163.6872340425532","169.84255319148937","170.68297872340426","166.31489361702128","161.81914893617022","157.13191489361702","152.16808510638299","150.14255319148936","151.09148936170212","151.84468085106383","152.38510638297873","152.65106382978723","154.34042553191489","157.09999999999999","159.60212765957448","162.43191489361703","165.31914893617022","168.15744680851063",NA,NA
"8","Arab World","ARB","Population density (people per sq. km of land area)","EN.POP.DNST",NA,"7.0352784578220202","7.2195596927910186","7.4123256220075291","7.6126026534570048","7.8201877962900506","8.0369488895783405","8.2650823927588615","8.5023703204015497","8.7471841172553901","8.9979810381714636","9.2554250828952771","9.521803369824422","9.7994969808787644","10.092440526555256","10.414520434362021","10.786210408311085","11.164202153619488","11.515461549136971","11.902838361136844","12.321074427919338","12.718648566265466","13.120456505207285","13.543237288184157","13.970784953889057","14.396517524891431","14.834356041412606","15.273517712454646","15.682068743644578","16.091011798850243","16.598082814485583","16.959084697391035","17.382326222716774","17.852219211925622","18.3372485964187","18.793273756447796","19.245130361385222","19.701008659559747","20.157790903836634","20.618735531921661","21.090066283258533","21.563665128229353","22.041668506419349","22.523505517604516","23.014037882365024","23.55101334917709","24.149257701921584","24.795387166765689","25.466296303942425","26.141474458754026","26.778778811363775","27.360994275186666","29.035059531719781","29.70324997124186","30.374589329278532","31.029436294476071","31.684061002422116","32.339519011826241","33.017423114549274","33.698428019477667","34.290799263450715","34.847427273904877",NA,NA
"9","United Arab Emirates","ARE","Population density (people per sq. km of land area)","EN.POP.DNST",NA,"1.9851309490284428","2.0962686567164179","2.2107293720078851","2.3275837792171221","2.4471557307800618","2.5698254012954096","2.6950718107575331","3.0073500422416219","3.5660518163897494","4.1971838918614477","4.8509293156857227","5.5247535905378768","6.2172064207265558","6.9269923965080258","7.6512813292030417","8.6479442410588572","9.9529850746268664","11.338087862573923","12.791495353421571","14.278344128414531","15.491129259363559","16.444043931286963","17.425682906223599","18.422007885102786","19.42461278513095","20.680047873838355","22.189650802590819","23.707138834131232","25.23007603491974","26.75515347789355","28.279118558152632","29.797676710785694","31.305040833568007","32.79391720642073","34.271867079695859","36.225499859194592","38.666840326668542","41.131089833849622","43.615361869895807","46.118459588848211","48.636975499859197","51.163827090960289","53.695339341030696","56.228372289495915","60.278696141931853","68.979921148972124","82.689721205294276","98.4044635313996","112.54074908476485","119.42792171219375","120.74352295128134","122.00744860602647","123.23073782033229","124.41496761475641","125.55475922275416","126.64408617290904","127.68651084201633","128.69852154322726","129.70511123627148","130.77005068994649","131.86630526612223",NA,NA
"10","Argentina","ARG","Population density (people per sq. km of land area)","EN.POP.DNST",NA,"7.5568124266906374","7.6809426716215574","7.8065169968100152","7.9323880307963268","8.0585163098487591","8.1862088873785481","8.315524958983298","8.4455933993254622","8.5767945949303712","8.7122776054284561","8.8513419495814283","8.9936361078529163","9.1426460432127854","9.2994654125969696","9.4550562906284608","9.6065893469848618","9.7613467363859261","9.9193262664021127","10.0793783731442","10.240400995363011","10.403547716401931","10.568519635033562","10.734550497133398","10.900831661605809","11.067059842364316","11.235589708735736","11.406645619343076","11.579971425334985","11.753529263453295","11.925960558192561","12.097008795296508","12.266016611307821","12.43372102795713","12.602339322320029","12.769480649982277","12.931447113118402","13.087332142113283","13.239787845901436","13.393197987349682","13.545843336293114","13.695556676130654","13.843375756844948","13.987029586836654","14.1297684429","14.276553427680884","14.425035718331269","14.57092728807428","14.716233479129897","14.866257413152384","14.904301546759042","15.077151595540599","15.249542695738283","15.421160233712989","15.591645381829874","15.760632735165474","15.928135082892107","16.094190792526739","16.258510097965061","16.420826619017866","16.580892611147043","16.738741691605554",NA,NA
